SNo	Date	Month	Year	BS	Expenses Group	Group	Sub Group	Bill Date	Vendor Name	Details-Description	Qty	KG	Feed KG	Rate	Amount
	9/3/2025	Sep	2025	BS	Land Development		Soil	Bill No Nil		Soil Feeling 75 Tractor		75		220	16000
	9/3/2025	Sep	2025	BS	Building Construction		Factory Gate	Bill No Nil	Nand Prakash	Steel Gate Making-Part Payment					10000
	9/5/2025	Sep	2025	BS	Water Pump		Water Pump	Bill No Nil		Material					390
	9/5/2025	Sep	2025	BS	Water Pump		Water Pump	Bill No Nil		Material					180
	9/5/2025	Sep	2025	BS	Water Pump		Water Pump	Bill No Nil		Service Charge					300
	9/5/2025	Sep	2025	BS	Electrical Installation		Light	Bill No Nil		Street Linght/Halogen		1		400	400
	9/6/2025	Sep	2025	BS	Building Construction		Rasi	Bill No Nil		Rasi		1 KG			100
	9/6/2025	Sep	2025	BS	Freight and Cartage		Loading	Bill No Nil		Tractor Bara-Freight					200
	9/6/2025	Sep	2025	BS	Factory Shed		Wages	Bill No Nil		Labour  2 full day and 1 half day					1300
	9/7/2025	Sep	2025	BS	Freight and Cartage		Freight and Cartage	Bill No Nil		Auto Fare					50
	9/8/2025	Sep	2025	BS	Building Construction		Bricks	Bill No Nil		Bricks 2 Traior , 3000 Bricks		2		10500	21000
	9/8/2025	Sep	2025	BS	Building Construction		Bricks	Bill No Nil		Bricks 2 Traior , Tukni Eta		2		4500	9000
	9/8/2025	Sep	2025	BS	Building Construction		Loading/Unloading	Bill No Nil		Bricks-Loading/Unloading		4		100	400
	9/8/2025	Sep	2025	BS	Land Development		Soil	Bill No Nil		Soil Leveling Charge		5		500	2500
	9/9/2025	Sep	2025	BS	Factory Shed		Wages	Bill No Nil		Labour  Charge		3		500	1500
	9/9/2025	Sep	2025	BS	Vehicls Running		Petrol	Bill No Nil		Petrol for Scooter					281
	9/9/2025	Sep	2025	BS	Factory Shed		Nail	Bill No Nil		Kil/Nail					90
	9/9/2025	Sep	2025	BS	Factory Shed		Rasi	Bill No Nil		Rasi-3.072kG					270
	9/9/2025	Sep	2025	BS	Factory Shed		Plastic	Bill No Nil		Plastic					150
	9/9/2025	Sep	2025	BS	Factory Shed		Steel Coil	Bill No Nil		Coil/Ring for Pillar support					380
	9/10/2025	Sep	2025	BS	Building Construction		River Sand			River Sand 2 Trailor @ 4000		2		4000	8000
	9/10/2025	Sep	2025	BS	Factory Shed		Roofing Shed			TATA Roofing Shed 14 Feet X 4 FeetX Thic  0.45mm		21		2000	42000
