Date	 696b8f05e663e35668579996 			 696b8fb6e663e3566857999b 			 696b909ae663e356685799b0 		
	 Moning 	 Evening 	 Damage 	 Moning 	 Evening 	 Damage 	 Moning 	 Evening 	 Damage 
10/30/2025	  4.50 	 - 		  -   			  -   		
10/31/2025	  8.75 	  4.50 		  -   			  -   		
11/1/2025	  7.50 	 - 		  -   			  -   		
11/2/2025	  1.00 	 - 		  -   			  -   		
11/3/2025	  6.00 	  4.00 		  -   			  -   		
11/4/2025	  5.50 	  3.25 		  -   			  -   		
11/5/2025	  7.00 	  4.00 		  -   			  -   		
11/6/2025	  6.00 	  4.25 		  -   			  -   		
11/7/2025	  8.00 	  4.00 		  -   			  -   		
11/8/2025	  7.00 	  3.00 		  -   			  -   		
11/9/2025	  7.25 	  2.25 		  -   			  -   		
11/10/2025	  7.25 	  1.50 		  -   			  -   		
11/11/2025	  6.25 	  4.25 		  -   			  -   		
11/12/2025	  6.50 	  5.50 		  -   			  -   		
11/13/2025	  6.50 	  6.00 		  -   			  -   		
11/14/2025	  6.20 	  5.00 		  -   			  -   		
11/15/2025	  6.00 	  5.00 		  -   			  -   		
11/16/2025	  5.10 	  4.25 		  -   			  -   		
11/17/2025	  6.00 	  4.00 		  -   			  -   		
11/18/2025	  6.00 	  3.00 		  -   			  -   		
11/19/2025	  6.00 	  3.00 		  -   			  -   		
11/20/2025	  7.00 	  4.00 		  -   			  -   		
11/21/2025	  3.00 	  3.25 		  -   			  -   		
11/22/2025	  5.00 	  4.50 		  -   	  5.50 				
11/23/2025	  5.10 	  5.10 		  7.90 	  4.15 				
11/24/2025	  5.10 	  4.00 		  6.00 	  6.00 				
11/25/2025	  5.10 	  4.00 		  7.40 	  7.00 				
11/26/2025	  5.00 	  4.00 		  8.00 	  7.00 				
11/27/2025	  4.50 	  4.00 		  8.00 	  7.00 				
11/28/2025	  5.00 	  4.00 		  8.00 	  7.00 				
11/29/2025	  4.50 	  4.90 		  7.70 	  7.00 				
11/30/2025	  5.17 	  4.50 		  8.12 	  7.00 				
12/1/2025	  5.40 	  4.79 		  8.09 	  6.70 				
12/2/2025	  4.90 	  5.14 		  8.60 	  6.69 				
12/3/2025	  4.97 	  4.60 		  8.53 	  7.10 				
12/4/2025	  4.50 	  4.60 		  8.40 	  7.00 				
12/5/2025	  4.80 	  5.03 		  7.96 	  7.34 				
12/6/2025	  5.14 	  5.50 		  7.96 	  7.50 				
12/7/2025	  5.20 	  5.42 		  7.52 	  7.35 				
12/8/2025	  5.20 	  5.30 		  8.73 	  7.40 				
12/9/2025	  5.10 	  4.50 		  8.43 	  6.88 				
12/10/2025	  4.90 	  5.10 		  8.60 	  7.50 				
12/11/2025	  5.830 	  5.310 		  8.010 	  6.850 				
12/12/2025	  5.770 	  5.180 		  7.680 	  8.180 				
12/13/2025	  6.000 	  4.700 		  7.800 	  7.300 				
12/14/2025	  5.300 	  4.800 		  7.690 	  6.900 				
12/15/2025	  4.900 	  4.700 		  7.000 	  6.700 				
12/16/2025	  5.400 	  4.100 		  7.200 	  6.700 		  7.50 	  6.87 	
12/17/2025	  4.600 	  4.400 		  6.300 	  6.400 		  4.50 	  7.50 	
12/18/2025	  4.500 	  4.300 		  6.600 	  6.100 		  -   	  0.80 	
12/19/2025	  5.300 	  4.460 		  6.850 	  6.060 		  -   	  4.83 	
12/20/2025	  5.700 	  5.350 		  6.300 	  7.100 		  2.90 	  7.35 	
12/21/2025	  5.690 	  5.330 		  7.750 	  7.070 		  7.31 	  8.35 	
12/22/2025	  5.280 	  5.000 		  7.700 	  6.700 		  8.50 	  8.00 	
12/23/2025	  5.300 	  4.790 		  7.700 	  7.540 		  8.30 	  7.51 	
12/24/2025	  4.720 	  4.600 		  6.810 	  6.600 		  7.70 	  6.00 	
12/25/2025	  4.960 	  4.480 		  7.500 	  6.700 		  8.80 	  6.50 	
12/26/2025	  4.500 	  4.900 		  6.900 	  6.560 		  7.90 	  7.00 	
12/27/2025	  4.890 	  4.840 		  6.800 	  6.840 		  8.02 	  7.20 	
12/28/2025	  4.400 	  4.300 		  6.400 	  6.200 		  7.00 	  5.90 	
12/29/2025	  4.360 	  4.000 		  6.580 	  6.000 		6.30	7.00	
12/30/2025	  3.900 	  4.000 		  5.900 	  6.600 		7.20	6.69	
12/31/2025	  4.400 	  4.490 		  6.670 	  6.900 		8.20	8.4	
1/1/2026	  4.230 	  3.900 		  6.250 	  6.600 		8.84	8.5	
1/2/2026	  3.570 	  4.400 		  6.640 	  7.000 		8.17	9.5	
1/3/2026	  4.590 	  4.400 		  6.000 	  6.400 		8.20	8	
1/4/2026	  5.090 	  4.600 		  6.690 	  6.770 		8.19	8.59	
1/5/2026	  5.030 	  3.840 		  7.120 	  6.170 		9.10	8.33	
1/6/2026	  4.620 	  4.890 		  7.080 	  6.750 		9.01	9.2	
1/7/2026	  4.400 	  4.900 		  6.270 	  6.900 		8.63	9.23	
1/8/2026	  4.900 	  4.900 		  6.600 	  6.860 		9.00	9.7	
1/9/2026	  4.770 	  4.600 		  6.590 	  6.860 		8.60	9	
1/10/2026	  5.180 	  5.820 		  7.030 	  7.170 		9.21	9.01	
1/11/2026	  4.860 	  5.640 		  7.000 	  7.100 		8.70	8.66	
1/12/2026	  4.660 	  5.810 		  7.010 	  7.570 		9.11	8.97	
1/13/2026	  4.220 	  4.800 		  6.180 	  6.570 		8.50	9	
1/14/2026	  3.820 	  5.000 		  6.130 	  6.800 		8.60	  8.800 	
1/15/2026	  4.730 	  5.900 		  7.160 	  6.800 		9.73	  9.870 	
1/16/2026	  4.650 	  6.290 		  7.180 	  8.050 		9.92	  9.700 	
1/17/2026	  4.820 	  5.600 		  7.380 	  7.300 		9.68	  9.200 	
1/18/2026	  5.160 	  5.000 		  6.700 	  6.800 		9.59	  8.890 	
1/19/2026	  5.700 	  5.220 		  7.450 	  6.830 		10.30	  9.400 	
1/20/2026	  5.310 	  5.180 		  6.760 	  6.960 		9.79	  10.100 	
1/21/2026	  5.140 	  5.120 		  7.230 	  7.180 		10.36	  9.960 	
1/22/2026									
1/23/2026									
1/24/2026									
1/25/2026									
1/26/2026									
